ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,265,2,3,1,90.0,900.0,270.0,0
0,0,218,2,3,1,90.0,900.0,270.0,0
0,0,225,2,3,1,90.0,900.0,270.0,0
0,1,241,2,3,1,90.0,1530.0,260.0,0
0,1,337,2,3,1,80.0,1530.0,260.0,0
0,1,309,2,3,1,90.0,1530.0,260.0,0
0,2,290,2,3,1,90.0,2170.0,350.0,0
0,2,217,2,3,1,80.0,2170.0,350.0,0
0,2,262,2,3,2,180.0,2170.0,350.0,0
0,3,299,2,3,1,80.0,2700.0,350.0,0
0,3,224,2,3,1,90.0,2700.0,350.0,0
0,3,269,2,3,2,180.0,2700.0,350.0,0
0,4,298,2,3,3,240.0,2700.0,580.0,0
0,4,289,2,3,2,180.0,2700.0,580.0,0
0,4,263,2,3,2,160.0,2700.0,580.0,0
0,5,246,2,3,3,270.0,2700.0,600.0,0
0,5,293,2,3,1,90.0,2700.0,600.0,0
0,5,295,2,3,3,240.0,2700.0,600.0,0
0,6,294,2,3,3,240.0,2700.0,870.0,0
0,6,334,2,3,3,270.0,2700.0,870.0,0
0,6,237,2,3,4,360.0,2700.0,870.0,0
0,7,308,2,3,3,270.0,2700.0,900.0,0
0,7,222,2,3,3,270.0,2700.0,900.0,0
0,7,320,2,3,4,360.0,2700.0,900.0,0
0,8,265,2,3,1,90.0,2700.0,630.0,0
0,8,218,2,3,1,90.0,2700.0,630.0,0
0,8,338,2,3,5,450.0,2700.0,630.0,0
0,9,337,2,3,1,80.0,2700.0,560.0,0
0,9,291,2,3,2,160.0,2700.0,560.0,0
0,9,273,2,3,4,320.0,2700.0,560.0,0
0,10,217,2,3,1,80.0,2700.0,720.0,0
0,10,266,2,3,5,400.0,2700.0,720.0,0
0,10,261,2,3,3,240.0,2700.0,720.0,0
0,11,-1,0,-1,0,0.0,2700.0,0.0,1
0,12,-1,0,-1,0,0.0,2700.0,0.0,1
0,13,-1,0,-1,0,0.0,2700.0,0.0,1
0,14,334,2,3,3,270.0,2700.0,270.0,1
1,0,265,2,3,1,90.0,900.0,270.0,0
1,0,218,2,3,1,90.0,900.0,270.0,0
1,0,225,2,3,1,90.0,900.0,270.0,0
1,1,241,2,3,1,90.0,1530.0,260.0,0
1,1,337,2,3,1,80.0,1530.0,260.0,0
1,1,309,2,3,1,90.0,1530.0,260.0,0
1,2,290,2,3,1,90.0,2170.0,350.0,0
1,2,217,2,3,1,80.0,2170.0,350.0,0
1,2,262,2,3,2,180.0,2170.0,350.0,0
1,3,299,2,3,1,80.0,2700.0,350.0,0
1,3,224,2,3,1,90.0,2700.0,350.0,0
1,3,269,2,3,2,180.0,2700.0,350.0,0
1,4,298,2,3,3,240.0,2700.0,580.0,0
1,4,289,2,3,2,180.0,2700.0,580.0,0
1,4,263,2,3,2,160.0,2700.0,580.0,0
1,5,246,2,3,3,270.0,2700.0,600.0,0
1,5,293,2,3,1,90.0,2700.0,600.0,0
1,5,295,2,3,3,240.0,2700.0,600.0,0
1,6,294,2,3,3,240.0,2700.0,870.0,0
1,6,334,2,3,3,270.0,2700.0,870.0,0
1,6,237,2,3,4,360.0,2700.0,870.0,0
1,7,308,2,3,3,270.0,2700.0,900.0,0
1,7,222,2,3,3,270.0,2700.0,900.0,0
1,7,320,2,3,4,360.0,2700.0,900.0,0
1,8,338,2,3,5,450.0,2700.0,930.0,0
1,8,291,2,3,2,160.0,2700.0,930.0,0
1,8,273,2,3,4,320.0,2700.0,930.0,0
1,9,241,2,3,1,90.0,2670.0,580.0,0
1,9,309,2,3,1,90.0,2670.0,580.0,0
1,9,266,2,3,5,400.0,2670.0,580.0,0
1,10,290,2,3,1,90.0,2700.0,510.0,0
1,10,262,2,3,2,180.0,2700.0,510.0,0
1,10,261,2,3,3,240.0,2700.0,510.0,0
1,11,-1,0,-1,0,0.0,2700.0,0.0,1
1,12,298,2,3,3,240.0,2700.0,580.0,0
1,12,289,2,3,2,180.0,2700.0,580.0,0
1,12,263,2,3,2,160.0,2700.0,580.0,0
1,13,246,2,3,3,270.0,2700.0,270.0,1
1,14,-1,0,-1,0,0.0,2700.0,0.0,1
2,0,265,2,3,1,90.0,900.0,270.0,0
2,0,218,2,3,1,90.0,900.0,270.0,0
2,0,225,2,3,1,90.0,900.0,270.0,0
2,1,241,2,3,1,90.0,1530.0,260.0,0
2,1,337,2,3,1,80.0,1530.0,260.0,0
2,1,309,2,3,1,90.0,1530.0,260.0,0
2,2,290,2,3,1,90.0,2170.0,350.0,0
2,2,217,2,3,1,80.0,2170.0,350.0,0
2,2,262,2,3,2,180.0,2170.0,350.0,0
2,3,299,2,3,1,80.0,2700.0,350.0,0
2,3,224,2,3,1,90.0,2700.0,350.0,0
2,3,269,2,3,2,180.0,2700.0,350.0,0
2,4,298,2,3,3,240.0,2700.0,580.0,0
2,4,289,2,3,2,180.0,2700.0,580.0,0
2,4,263,2,3,2,160.0,2700.0,580.0,0
2,5,246,2,3,3,270.0,2700.0,600.0,0
2,5,293,2,3,1,90.0,2700.0,600.0,0
2,5,295,2,3,3,240.0,2700.0,600.0,0
2,6,294,2,3,3,240.0,2700.0,870.0,0
2,6,334,2,3,3,270.0,2700.0,870.0,0
2,6,237,2,3,4,360.0,2700.0,870.0,0
2,7,308,2,3,3,270.0,2700.0,900.0,0
2,7,222,2,3,3,270.0,2700.0,900.0,0
2,7,320,2,3,4,360.0,2700.0,900.0,0
2,8,225,2,3,1,90.0,2700.0,700.0,0
2,8,338,2,3,5,450.0,2700.0,700.0,0
2,8,291,2,3,2,160.0,2700.0,700.0,0
2,9,309,2,3,1,90.0,2700.0,810.0,0
2,9,273,2,3,4,320.0,2700.0,810.0,0
2,9,266,2,3,5,400.0,2700.0,810.0,0
2,10,290,2,3,1,90.0,2700.0,330.0,1
2,10,261,2,3,3,240.0,2700.0,330.0,1
2,11,299,2,3,1,80.0,2700.0,80.0,1
2,12,-1,0,-1,0,0.0,2700.0,0.0,1
2,13,-1,0,-1,0,0.0,2700.0,0.0,1
2,14,334,2,3,3,270.0,2700.0,270.0,1
3,0,265,2,3,1,90.0,900.0,270.0,0
3,0,218,2,3,1,90.0,900.0,270.0,0
3,0,225,2,3,1,90.0,900.0,270.0,0
3,1,241,2,3,1,90.0,1530.0,260.0,0
3,1,337,2,3,1,80.0,1530.0,260.0,0
3,1,309,2,3,1,90.0,1530.0,260.0,0
